Fecha_Proceso;Operacion;Documento;Correlativo;Serie;Seriado;Emisor;Fecha_Compra;Fecha_Emision;Fecha_Vcto;Duration;Plazo;Plazo_Residual;Nominal;Moneda;Tir;Tasa_Mercado;Tasa_Emision;Tera_Emision;Valor_Compra;Interes;Reajuste;Valor_Presente;Valor_Mercado;Ajuste_Mercado;Interes_Diario;Reajuste_Diario;Valor_Presente_Prox;Valor_Compra_UM;Interes_UM;Valor_Presente_UM;Valor_Mercado_UM;Ajuste_Mercado_UM;Interes_Diario_UM;Valor_Presente_Prox_UM;Valor_Compra_Par;Interes_Par;Reajuste_Par;Valor_Presente_Par;Interes_Diario_Par;Reajuste_Diario_Par;Valor_Presente_Prox_Par;Prima;Descuento;Prima_Diario;Descuento_Diario;Grupo;Nivel_Libro;Libro;Posicion;Evento;Cartera_Normativa;Instrumento;Sub_Instrumento;Tipo_Letra;Rut_Emisor;Codigo_Emisor;Tipo_Emisor;Codigo_Instrumento;Codigo_Moneda;Codigo_Libro;Codigo_Cartera_Normativa;Periodo_Cupon;Ultimo_Cupon;Fecha_Ultimo_Cupon;Nominal_Residual;Cupones_Cortados;Marca_VI;Marca_GTA;Pago;Fecha_Devengo;Fecha_Prx_Cupon;Fecha_Valuta;Plaza_1;Plaza_1_Glosa;Plaza_2;Plaza_2_Glosa;Plaza_3;Plaza_3_Glosa;Forma_de_Pago;Forma_de_Pago_Glosa;Dv01_Clp;Dv01_Um;fecha;codigo_instrumento;interes_Lir_UM;interes_Mes_Lir_UM;Retencion_Lir_UM;Retencion_Lir;Retencion_Mes_Lir_UM;Retencion_Mes_Lir;Grupo_Especial;Linea_1;Linea_Glosa_1;Grupo_1;Grupo_Factor_1;Plazo_Pacto_1;Plazo_Instrumento_1;Monto_Linea_1;Monto_Linea_Clp_1;Factor_1;Rut_1;Codigo_1;Nombre_1;Error_1;Error_Glosa_1;Linea_2;Linea_Glosa_2;Grupo_2;Grupo_Factor_2;Plazo_Pacto_2;Plazo_Instrumento_2;Monto_Linea_2;Monto_Linea_Clp_2;Factor_2;Rut_2;Codigo_2;Nombre_2;Error_2;Error_Glosa_2
31-08-2020;669968;669968;1;CFMSTDMOMP  ;N;FMSAT   ;31-08-2020;31-08-2020;02-09-2020;0;2;2;56959604,53;CLP       ;0;0;0;0;60.000.000.000;0;0;60000000000;0;0;0;0;0;60.000.000.000,00;0;60.000.000.000,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SIN GRUPO      ;FALABELLA;LIQUIDEZ PESOS;DIS;*                   ;NEG;FMUTUO         ;              ;N/             ;96667040;21-02-1900;05-01-1900;07-04-1900;999;14;1;0;0;         ;56959604,53;0;NO        ;NO        ;H         ;44074;44076;44076;22;SANTIAGO  ;22;SANTIAGO  ;22;SANTIAGO  ;0;NO APLICA                     ;0;0;N4;98;0;0;0;0;0;0;                                                 ;0;              ;           ;           ; - ;0;0;0;0;0;0;                                                                       ;;                                                 ;2;Interno        ;SIN GRUPO   ;SIN FACTOR  ;0;0;77066341,28;60000000000;100;96667040;52;FONDO MUTUO SANTANDER MONEY MARKET P                                  ;N;                                                 
31-08-2020;669981;669981;1;CFMITASEM5  ;N;FMITA   ;31-08-2020;31-08-2020;01-09-2020;0;1;1;40291096,81;CLP       ;0;0;0;0;76.000.000.000;0;0;76000000000;0;0;0;0;0;76.000.000.000,00;0;76.000.000.000,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SIN GRUPO      ;FALABELLA;LIQUIDEZ PESOS;DIS;*                   ;NEG;FMUTUO         ;              ;N/             ;96980650;18-02-1982;05-01-1900;07-04-1900;999;14;1;0;0;         ;40291096,81;0;NO        ;NO        ;H         ;44074;44075;44075;22;SANTIAGO  ;22;SANTIAGO  ;22;SANTIAGO  ;0;NO APLICA                     ;0;0;N4;98;0;0;0;0;0;0;                                                 ;0;              ;           ;           ; - ;0;0;0;0;0;0;                                                                       ;;                                                 ;2;Interno        ;SIN GRUPO   ;SIN FACTOR  ;0;0;97617365,62;76000000000;100;96980650;1;FONDO MUTUO ITAU  CORPORATE                                           ;N;                                                 
31-08-2020;669983;669983;1;CFMBCHCAPP  ;N;FMBCH   ;31-08-2020;31-08-2020;01-09-2020;0;1;1;27460105,91;CLP       ;0;0;0;0;29.000.000.000;0;0;29000000000;0;0;0;0;0;29.000.000.000,00;0;29.000.000.000,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SIN GRUPO      ;FALABELLA;LIQUIDEZ PESOS;DIS;*                   ;NEG;FMUTUO         ;              ;N/             ;96767630;09-09-1913;05-01-1900;07-04-1900;999;14;1;0;0;         ;27460105,91;0;NO        ;NO        ;H         ;44074;44075;44075;22;SANTIAGO  ;22;SANTIAGO  ;22;SANTIAGO  ;0;NO APLICA                     ;0;0;N4;98;0;0;0;0;0;0;                                                 ;0;              ;           ;           ; - ;0;0;0;0;0;0;                                                                       ;;                                                 ;2;Interno        ;SIN GRUPO   ;SIN FACTOR  ;0;0;37248731,62;29000000000;100;96767630;5001;FONDO MUTUO BANCHILE CAPITAL EMPRESARIAL P                            ;N;                                                 
31-08-2020;12398;12398;1;FAL75V0101  ;S;FAL     ;31-10-2002;01-01-2001;01-01-2021;0,18;7.305;123;360;CLF       ;7,5;1,34;7,5;7,4943;228.527;4.838,00;167.057,00;400422;404744;4.322,00;0;0;0;13,79;0,17;13,96;14,11;0,1507;0;0;228447;4.696,00;166998;400141;0;0;0;0;-281;0;0;UF-02-X        ;FALABELLA;INVERSIONES TASAS;DIS;*                   ;S/C;LCHR           ;PROPIO         ;VI             ;96509660;01-01-1900;01-01-1900;20-01-1900;998;23;0;3;78;44013;13,788;0;NO        ;NO        ;H         ;44074;44105;44105;22;SANTIAGO  ;22;SANTIAGO  ;0;N/A       ;84;VARIOS ACREEDORES             ;-4;-0,0001;N4;20;0;0;0;0;0;0;                                                 ;1;Normativo      ;SIN GRUPO   ;SIN FACTOR  ; - ;0;400422;400422;100;96509660;1; BANCO FALABELLA                                                        ;N;                                                 ;2;Interno        ;SIN GRUPO   ;SIN FACTOR  ;0;0;514,32;400422;100;96509660;1;BANCO FALABELLA                                                       ;N;                                                 
31-08-2020;65954;65954;1;FAL72V0102  ;S;FAL     ;24-02-2003;01-01-2002;01-01-2022;0,73;7.305;488;650;CLF       ;7,2;2,79;7,2;7,1947;1.487.240;29.951,00;1.069.730,00;2586921;2667117;80.196,00;0;0;0;89,16;1,04;90,2;93;2,7963;0;0;1.486.894,00;30551;1069473;2586918;0;0;0;0;-3;0;0;UF-02-X        ;FALABELLA;INVERSIONES TASAS;DIS;*                   ;S/C;LCHR           ;PROPIO         ;VI             ;96509660;01-01-1900;01-01-1900;20-01-1900;998;23;0;3;74;44013;89,18;0;NO        ;NO        ;H         ;44074;44105;44105;22;SANTIAGO  ;22;SANTIAGO  ;0;N/A       ;84;VARIOS ACREEDORES             ;-181;-0,0063;N4;20;0;0;0;0;0;0;                                                 ;1;Normativo      ;SIN GRUPO   ;SIN FACTOR  ; - ;0;2586921;2586921;100;96509660;1; BANCO FALABELLA                                                        ;N;                                                 ;2;Interno        ;SIN GRUPO   ;SIN FACTOR  ;0;0;3322,74;2586921;100;96509660;1;BANCO FALABELLA                                                       ;N;                                                 
31-08-2020;67384;67384;1;FAL60V0103  ;S;FAL     ;12-04-2004;01-01-2003;01-01-2023;1,2234;7.305;853;440;CLF       ;6;1,08;6;6,0026;1.482.242;24.619,00;1.043.961,00;2550822;2702324;151.502,00;0;0;0;88,08;0,86;88,94;94,23;5,2826;0;0;1482076;24.639,00;1043855;2550570;0;0;0;252;0;0;0;UF-02-X        ;FALABELLA;INVERSIONES TASAS;DIS;*                   ;S/C;LCHR           ;PROPIO         ;VI             ;96509660;01-01-1900;01-01-1900;20-01-1900;998;23;0;3;70;44013;88,088;0;NO        ;NO        ;H         ;44074;44105;44105;22;SANTIAGO  ;22;SANTIAGO  ;0;N/A       ;84;VARIOS ACREEDORES             ;-332;-0,0116;N4;20;0;0;0;0;0;0;                                                 ;1;Normativo      ;SIN GRUPO   ;SIN FACTOR  ; - ;0;2550822;2550822;100;96509660;1; BANCO FALABELLA                                                        ;N;                                                 ;2;Interno        ;SIN GRUPO   ;SIN FACTOR  ;0;0;3276,38;2550822;100;96509660;1;BANCO FALABELLA                                                       ;N;                                                 
31-08-2020;69498;69498;1;FAL50V0104  ;S;FAL     ;20-05-2005;01-01-2004;01-01-2024;1,6943;7.305;1.218;430;CLF       ;5;1,05;5;5,0003;1.876.220;25.101,00;1.224.814,00;3126135;3333960;207.825,00;0;0;0;108,13;0,88;109;116,25;7,2465;0;0;1875418;25499;1224274;3125191;0;0;0;944;0;0;0;UF-02-X        ;FALABELLA;INVERSIONES TASAS;DIS;*                   ;S/C;LCHR           ;PROPIO         ;VI             ;96509660;01-01-1900;01-01-1900;20-01-1900;998;23;0;3;66;44013;108,102;0;NO        ;NO        ;H         ;44074;44105;44105;22;SANTIAGO  ;22;SANTIAGO  ;0;N/A       ;84;VARIOS ACREEDORES             ;-562;-0,0196;N4;20;0;0;0;0;0;0;                                                 ;1;Normativo      ;SIN GRUPO   ;SIN FACTOR  ; - ;0;3126135;3126135;100;96509660;1; BANCO FALABELLA                                                        ;N;                                                 ;2;Interno        ;SIN GRUPO   ;SIN FACTOR  ;0;0;4015,33;3126135;100;96509660;1;BANCO FALABELLA                                                       ;N;                                                 
31-08-2020;71297;71297;1;FAL50Q0106  ;S;FAL     ;09-05-2006;01-01-2006;01-01-2021;0,2191;5.479;123;40;CLF       ;5;0,74;5;5,003;36.558;490;21.622,00;58670;59214;544;0;0;0;2,03;0,02;2,05;2,06;0,019;0;0;36607;488;21649;58744;0;0;0;-74;0;0;0;UF-02-X        ;FALABELLA;INVERSIONES TASAS;DIS;*                   ;S/C;LCHR           ;PROPIO         ;VI             ;96509660;01-01-1900;01-01-1900;20-01-1900;998;23;0;3;58;44013;2,032;0;NO        ;NO        ;H         ;44074;44105;44105;22;SANTIAGO  ;22;SANTIAGO  ;0;N/A       ;84;VARIOS ACREEDORES             ;-2;-0,0001;N4;20;0;0;0;0;0;0;                                                 ;1;Normativo      ;SIN GRUPO   ;SIN FACTOR  ; - ;0;58670;58670;100;96509660;1; BANCO FALABELLA                                                        ;N;                                                 ;2;Interno        ;SIN GRUPO   ;SIN FACTOR  ;0;0;75,36;58670;100;96509660;1;BANCO FALABELLA                                                       ;N;                                                 
31-08-2020;71535;71535;3;FAL50V0106  ;S;FAL     ;19-06-2006;01-01-2006;01-01-2026;2,6697;7.305;1.949;300;CLF       ;4,8;1,41;5;5,0003;2.063.726;25.648,00;1.199.387,00;3288761;3586133;297.372,00;0;0;0;113,78;0,89;114,67;125,04;10,3688;0;0;2052284;26413;1192722;3271419;0;0;0;17342;0;0;0;UF-02-X        ;FALABELLA;INVERSIONES TASAS;DIS;*                   ;S/C;LCHR           ;PROPIO         ;VI             ;96509660;01-01-1900;01-01-1900;20-01-1900;998;23;0;3;66;44013;75,42;0;NO        ;NO        ;H         ;44074;44105;44105;22;SANTIAGO  ;22;SANTIAGO  ;0;N/A       ;84;VARIOS ACREEDORES             ;-949;-0,0331;N4;20;0;0;0;0;0;0;                                                 ;1;Normativo      ;SIN GRUPO   ;SIN FACTOR  ; - ;0;3288761;3288761;100;96509660;1; BANCO FALABELLA                                                        ;N;                                                 ;2;Interno        ;SIN GRUPO   ;SIN FACTOR  ;0;0;4224,21;3288761;100;96509660;1;BANCO FALABELLA                                                       ;N;                                                 
31-08-2020;71560;71560;3;FAL50Q0106  ;S;FAL     ;22-06-2006;01-01-2006;01-01-2021;0,2191;5.479;123;360;CLF       ;5;0,74;5;5,003;331.293;4.302,00;192.419,00;528014;532933;4.919,00;0;0;0;18,26;0,15;18,41;18,58;0,1715;0;0;331724;4.305,00;192674;528703;0;0;0;-689;0;0;0;UF-02-X        ;FALABELLA;INVERSIONES TASAS;DIS;*                   ;S/C;LCHR           ;PROPIO         ;VI             ;96509660;01-01-1900;01-01-1900;20-01-1900;998;23;0;3;58;44013;18,288;0;NO        ;NO        ;H         ;44074;44105;44105;22;SANTIAGO  ;22;SANTIAGO  ;0;N/A       ;84;VARIOS ACREEDORES             ;-16;-0,0006;N4;20;0;0;0;0;0;0;                                                 ;1;Normativo      ;SIN GRUPO   ;SIN FACTOR  ; - ;0;528014;528014;100;96509660;1; BANCO FALABELLA                                                        ;N;                                                 ;2;Interno        ;SIN GRUPO   ;SIN FACTOR  ;0;0;678,2;528014;100;96509660;1;BANCO FALABELLA                                                       ;N;                                                 
31-08-2020;76785;76785;5;FAL55V1208  ;S;FAL     ;27-01-2009;01-12-2008;01-12-2028;4,0202;7.305;3.014;900;CLF       ;5,5;1,78;5,5;5,4998;10.661.688;193.064,00;3.696.074,00;14550826;16747643;2.196.817,00;0;0;0;500,63;6,73;507,36;583,96;76,599;0;0;10.666.117,00;194376;3697609;14558102;0;0;0;0;7276;0;0;UF-05-X        ;FALABELLA;INVERSIONES TASAS;DIS;*                   ;S/C;LCHR           ;PROPIO         ;F              ;96509660;01-01-1900;01-01-1900;20-01-1900;998;23;0;3;46;43983;500,94;0;NO        ;NO        ;H         ;44074;44075;44075;22;SANTIAGO  ;22;SANTIAGO  ;0;N/A       ;84;VARIOS ACREEDORES             ;-6697;-0,2335;N4;20;0;0;0;0;0;0;                                                 ;1;Normativo      ;SIN GRUPO   ;SIN FACTOR  ; - ;0;14550826;14550826;100;96509660;1; BANCO FALABELLA                                                        ;N;                                                 ;2;Interno        ;SIN GRUPO   ;SIN FACTOR  ;0;0;18689,65;14550826;100;96509660;1;BANCO FALABELLA                                                       ;N;                                                 
31-08-2020;76829;76829;3;FAL53T0108  ;S;FAL     ;02-02-2009;01-01-2008;01-01-2038;8,1711;10.958;6.332;700;CLF       ;5,3;2,14;5,3;5,3011;11.235.603;131.007,00;3.930.492,00;15297102;19394378;4.097.276,00;0;0;0;528,81;4,57;533,38;676,25;142,8645;0;0;11233309;131050;3929686;15294045;0;0;0;3057;0;0;0;UF-10-X        ;FALABELLA;INVERSIONES TASAS;DIS;*                   ;S/C;LCHR           ;PROPIO         ;VI             ;96509660;01-01-1900;01-01-1900;20-01-1900;998;23;0;3;50;44378;528,78;0;NO        ;NO        ;H         ;44074;44105;44105;22;SANTIAGO  ;22;SANTIAGO  ;0;N/A       ;84;VARIOS ACREEDORES             ;-15447;-0,5386;N4;20;0;0;0;0;0;0;                                                 ;1;Normativo      ;SIN GRUPO   ;SIN FACTOR  ; - ;0;15297102;15297102;100;96509660;1; BANCO FALABELLA                                                        ;N;                                                 ;2;Interno        ;SIN GRUPO   ;SIN FACTOR  ;0;0;19648,19;15297102;100;96509660;1;BANCO FALABELLA                                                       ;N;                                                 
31-08-2020;77166;77166;4;FAL55Q0109  ;S;FAL     ;25-03-2009;01-01-2009;01-01-2024;1,707;5.478;1.218;970;CLF       ;5,5;0,37;5,5;5,498;6.303.250;76.812,00;2.314.885,00;8694947;9457189;762.242,00;0;0;0;300,5;2,68;303,18;329,75;26,578;0;0;6301225;76.126,00;2314131;8691482;0;0;0;0;-3465;0;0;UF-02-X        ;FALABELLA;INVERSIONES TASAS;DIS;*                   ;S/C;LCHR           ;PROPIO         ;VI             ;96509660;01-01-1900;01-01-1900;20-01-1900;998;23;0;3;46;44013;300,409;0;NO        ;NO        ;H         ;44074;44105;44105;22;SANTIAGO  ;22;SANTIAGO  ;0;N/A       ;84;VARIOS ACREEDORES             ;-1651;-0,0576;N4;20;0;0;0;0;0;0;                                                 ;1;Normativo      ;SIN GRUPO   ;SIN FACTOR  ; - ;0;8694947;8694947;100;96509660;1; BANCO FALABELLA                                                        ;N;                                                 ;2;Interno        ;SIN GRUPO   ;SIN FACTOR  ;0;0;11168,13;8694947;100;96509660;1;BANCO FALABELLA                                                       ;N;                                                 
